Title,Artist,Position,ID,Year,Tonality,MIC,RIC,Unique Word Ratio
Let's Get It On,Marvin Gaye,4,1973_04_2,1973,0.84,0.8701152295377189,0.46229452662909704,0.35
Let's Get It On,Marvin Gaye,4,1973_04_3,1973,0.71,0.8417627975838481,0.4083738988370309,0.35
Let's Get It On,Marvin Gaye,4,1973_04_4,1973,0.61,0.646638077852176,0.3499115997002969,0.35
Let's Get It On,Marvin Gaye,4,1973_04_5,1973,0.77,0.6171148361738727,0.4097088216727847,0.35
Let's Get It On,Marvin Gaye,4,1973_04_6,1973,0.74,0.684990547635289,0.4383507907522691,0.35
Let's Get It On,Marvin Gaye,4,1973_04_7,1973,0.77,0.6498184641325586,0.40214646190071585,0.35
Let's Get It On,Marvin Gaye,4,1973_04_8,1973,0.65,0.5626774045649854,0.3664454345817794,0.35
My Love,Paul McCartney and Wings,5,1973_05_1,1973,0.94,0.7976469346350015,0.388079208975638,0.25
My Love,Paul McCartney and Wings,5,1973_05_2,1973,0.79,0.9141643151880972,0.48756777806672585,0.25
My Love,Paul McCartney and Wings,5,1973_05_3,1973,0.84,0.6718515336050966,0.3322127828167458,0.25
The Way We Were,Barbara Streisand,1,1974_01_1,1974,0.82,0.9019151924196807,0.3392098845290941,0.49
The Way We Were,Barbara Streisand,1,1974_01_2,1974,0.58,0.6214681416818781,0.18171774078671568,0.49
The Way We Were,Barbara Streisand,1,1974_01_3,1974,0.78,0.7327382482741525,0.6528665028396194,0.49
Seasons in the Sun,Terry Jacks,2,1974_02_1,1974,0.62,0.4489515349016434,0.24142232104578115,0.3
Seasons in the Sun,Terry Jacks,2,1974_02_2,1974,0.78,0.8653169074911553,0.1425359084380769,0.3
Love's Theme,Love Unlimited Orchestra,3,1974_03_1,1974,0.86,0.769583752795043,0.37410877411455595,0.0
Love's Theme,Love Unlimited Orchestra,3,1974_03_2,1974,0.81,0.9789751666909035,0.24706265101463867,0.0
Love's Theme,Love Unlimited Orchestra,3,1974_03_3,1974,0.67,0.6827844327442927,0.36181321702590685,0.0
Love's Theme,Love Unlimited Orchestra,3,1974_03_4,1974,0.76,0.3349695467333186,0.11094109831068291,0.0
Come and Get Your Love,Redbone,4,1974_04_1,1974,0.81,0.3642361558260296,0.24682785218924064,0.11
Come and Get Your Love,Redbone,4,1974_04_2,1974,0.71,0.49527555133700607,0.23433662208582906,0.11
Come and Get Your Love,Redbone,4,1974_04_3,1974,0.71,0.2183450778712112,0.11011467180150485,0.11
Dancing Machine,The Jackson 5,5,1974_05_1,1974,0.69,0.45990194823539404,0.3382983410644568,0.19
Dancing Machine,The Jackson 5,5,1974_05_2,1974,0.82,0.7222349787090679,0.3267892127695814,0.19
Dancing Machine,The Jackson 5,5,1974_05_3,1974,0.8,0.6565688211606555,0.323570242940042,0.19
Dancing Machine,The Jackson 5,5,1974_05_4,1974,0.68,0.3274958782878065,0.22746954408800094,0.19
Love Will Keep Us Together,Captain & Tennille,1,1975_01_1,1975,0.81,0.6518732266013826,0.3985959191433676,0.38
Love Will Keep Us Together,Captain & Tennille,1,1975_01_2,1975,0.73,0.7183631540090525,0.3946412082275408,0.38
